,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
652,Erin Elder,Canada,"Erin Elder’s resume includes the role of photo editor at The Globe and Mail, where she has been responsible for establishing and managing its photographic vision for over 10 years. Currently, she is responsible for developing, implementing and managing strategic digital partnerships that drive sales revenue, audience and content. She works across the organization with teams from product, sales, editorial, legal, finance and technology. Elder is a passionate promoter of social documentary photography across all platforms.",{'Erin Elder’s'},1,{'The Globe and Mail'},1,set(),0
653,Erin Grace Trieb,USA,,set(),0,set(),0,set(),0
654,Erkki Laitila,Finland,,set(),0,set(),0,set(),0
655,Ernest Chapman,United Kingdom,,set(),0,set(),0,set(),0
656,Ernest Cox Jr.,USA,,set(),0,set(),0,set(),0
657,Ernest E. Miller,United Kingdom,,set(),0,set(),0,set(),0
658,Ernest Schworck,USA,,set(),0,set(),0,set(),0
659,Ernesto Bazan,Italy,"Ernesto Bazan was born in Palermo in 1959. He received his first camera when he was 14 years old and began photographing daily life in his native city and in the rural areas of Sicily. Since then, photography has become more than a profession; it's a true passion, a mission in his life. Bazan has won some of the world’s most prestigious photographic awards, among them first prize in the World Press Photo Contest, The W. Eugene Smith Grant, and the Dorothea Lange–Paul Taylor Prize, among others. He has also published several books, including The Perpetual Past, and showcased his work in exhibitions in Europe, Latin America and the United States. In 2002, he created his own photographic workshops with a focus on Latin America. Several hundred students have studied with him in the last twelve years. He lives in Veracruz, Mexico with his family and their dog, Diva.","{'Ernesto Bazan', 'Taylor Prize', 'The W. Eugene Smith Grant'}",3,"{'the World Press Photo Contest', 'Diva', 'Bazan'}",3,"{'Mexico', 'Veracruz', 'Palermo', 'the United States', 'Sicily'}",5
660,Ernesto Benavides,Peru,"Ernesto Benavides (1978) is a Peruvian documentary photographer working primarily within South America.

He holds a Bachelor of Science in Communication from the University of Lima and is a founding member of the photographic collective Supayfotos, exhibiting nationally and internationally since 2007. 
Benavides currently works as a stringer photographer for the international news agency Agence France-Presse and his work has been published in media such as Wired, Audubon, The New York Times, Time, The Guardian, The Atavist Magazine, The New Yorker, The Washington Post, Grazzia, Brand eins, Le Monde, El País, Private, 6mois and Le Chasse Mare.

Benavides' work Presidential Vacancy, was awarded with 2nd place in the Spot News, Stories category of the 2021 World Press Photo Contest. His work Dredges was a finalist for the Oskar Barnack Leica Awards, won the bronze medal at the PX3 Prix de la Photographie, was presented at the screenings program of the Voices Off festival in Arles, won the 2017 Instituto Prensa y Sociedad (IPYS) and was included in the Songzhuang Chinese International Photo Biennale and presented in Colombia. In the same year, he was also awarded second place at the POY LATAM awards with his work, La Pampa, documenting the illegal mining fields in the Peruvian rainforest. Previous awards include Pictures of the Year International second prize in 2012, All Roads Photography Program of National Geographic in 2011 and the Inter American Press Association awards (IAPA).
His 2013 photobook Wanu was presented at the Indira festival in India, won second place in the IPA Awards and was a finalist in the Picture of the Year International awards in the category best photo book. 


World Press Photo Involvement:
2022 World Press Photo Contest South America jury chair
2021 World Press Photo Contest winner

Ernesto Benavides on Social Media:
Instagram: @ernestobenavidesde
Twitter: @EBENAVIDESD Image credit: Gihan Tubbeh","{'Instituto Prensa', '@EBENAVIDESD Image', 'Supayfotos', 'Gihan Tubbeh', 'Le Monde', 'Ernesto Benavides'}",6,"{'La Pampa', 'the Spot News', 'Guardian', 'National Geographic', 'the University of Lima', 'Time', 'The Washington Post', 'Stories', 'IAPA', 'Presidential Vacancy', '@ernestobenavidesde', 'the Songzhuang Chinese International Photo Biennale', 'World Press Photo Involvement', 'Grazzia', 'The New Yorker', 'IPYS', 'Brand', 'the Inter American Press Association', 'Wired', 'All Roads Photography Program', 'The Atavist Magazine', 'The New York Times', 'Social Media', 'Agence France-Presse', 'Audubon'}",25,"{'Colombia', 'India', 'Arles', 'El País'}",4
661,Ernö Vadas,Hungary,,set(),0,set(),0,set(),0
662,Ernst Saxer,Switzerland,"Ernst Saxer was a Swiss pilot and photographer from Luzern. He was known for his photographs of military airplanes in flight during training sessions and flight stunts. He was killed 'in action' on 18 April 1968, when a plane of the Patrouille Suisse, which he was photographing from the ground for his book and film 'Operation Überleben', hit him and later crashed. Both Saxer and the pilot of the plane were killed.","{'Ernst Saxer', 'Saxer'}",2,{'the Patrouille Suisse'},1,set(),0
663,Erwin Döring,Germany,,set(),0,set(),0,set(),0
664,Esa Ylijaasko,Finland,"“When I first met Esa Ylijaasko, I realized immediately that he had a different voice, a unique way of seeing the world and telling stories with images. The perseverance, patience and tenderness of his approach are rare gems in this industry, and he is devoted to continuing to do it.” -

Sebastián Liste, Spain, photographer Esa Ylijaasko is a photographer originally from a small northern town of Keminmaa, Finland. Esa Ylijaasko graduated from Jyväskylä College of Arts, Finland. Since then, he has been awarded in the Magnum Photos Showcase in November 2012, the Gomma Grant in 2016, the Carina Appel Award in 2017, and the FotoFinlandia Award in 2018. His works have been exhibited in Officine Fotografiche (Milan), Werkstattgalerie (Berlin), Galleria Uusi Kipinä (Finland), Eigenleben der Galerie Neurotitan Schwarzenber (Berlin, Germany), Ratamo Galleria (Jyväskylä, Fotoleggendo Festival (Rome), Gazebook Photo Book Festival (Sicily), Next Generation -Young Eyes of Photojournalism (Helsinki), and FotoIstanbul Festival (Istanbul). His images can be found in publications such as The New York Times, VICE, Suomen Kuvalehti, Huvudstadbladed and Helsingin Sanomat. He was in the VII mentor program. See Esa Ylijaasko's 'November is a beginning' on Witness, World Press Photo's online magazine. Esa Ylijaasko received a nomination from Sebastián Liste. Find out about the 6x6 nomination process and our growing community of global nominators.","{'Ratamo Galleria', 'Uusi Kipinä', 'Gomma Grant', 'Suomen Kuvalehti', 'Gazebook Photo Book Festival', 'Werkstattgalerie', 'Eigenleben', ""Esa Ylijaasko's"", 'Esa Ylijaasko', 'Galerie Neurotitan'}",10,"{'the Carina Appel Award', 'Jyväskylä', 'FotoIstanbul Festival', 'Jyväskylä College of Arts', 'Witness', ""World Press Photo's"", 'the Magnum Photos Showcase', 'Next Generation -Young Eyes of Photojournalism (Helsinki', 'Officine Fotografiche', 'The New York Times'}",10,"{'Berlin', 'Galleria', 'Germany', 'Rome', 'Liste', 'Spain', 'Milan', 'Istanbul', 'Huvudstadbladed', 'Helsingin Sanomat', 'Keminmaa', 'Finland'}",12
665,Espen Rasmussen,Norway,,set(),0,set(),0,set(),0
666,Espen Rasmussen,Norway,"He works as a picture editor at VG Helg, the weekend magazine of daily Norwegian newspaper, VG. He is represented by Panos Pictures Espen has won numerous awards for his work, including two prizes from World Press Photo, several in the Picture of the Year international (POYi) and 41 awards in the Norwegian Picture of the Year, including Photographer of the Year in 2015 and 2016 as well as the main prize, Picture of the Year in 2004 and 2016. In 2007, Espen received $60,000 from the Freedom of Expression Foundation to continue his long-term project on refugees and IDPs around the world, which was published as the book TRANSIT in 2011 by Dewi Lewis, as well as a major exhibition. He is a freelance lecturer in photography and he also frequently gives presentations at photo festivals and for a wide range of other audiences. For the last seven years, he has been one of three editors/mentors at Norwegian Journal of Photography (NJP). His work has been exhibited at the Nobel Peace Center (Oslo), The Humanity House (The Hague) and the UNHCR headquarter (Geneva) among other places.
	Clients include the New York Times, MSF (Doctors Without Borders), NRC (The Norwegian Refugee Council) and UNHCR. His work has appeared in magazines such as Time, Newsweek, National Geographic, New Republic, L’Espresso, Der Spiegel and the Economist and newspapers such as The Guardian, The Sunday Telegraph and New York Times.","{'Der Spiegel', 'Without Borders'}",2,"{'NRC', 'the New York Times', 'UNHCR', 'Newsweek', 'New York Times', 'The Norwegian Refugee Council', 'Guardian', 'The Humanity House', 'Panos Pictures Espen', 'Time', 'National Geographic', 'VG Helg', 'Photographer of the Year', 'World Press Photo', 'Norwegian Journal of Photography', 'TRANSIT', 'the Freedom of Expression Foundation', 'VG'}",18,"{'The Hague', 'Dewi Lewis', 'Geneva', 'New Republic'}",4
667,Esteban Felix,Peru,"Esteban Felix was born in Callao, Peru, in 1972.  He began his career in 1995 as a staff photographer at El Sol and El Comercio newspapers as well as at the political magazine Oiga. From 1998 to 2000, he participated in a World Press Photo seminar in Lima, Peru, tutored by Vincent Alabiso. In 2000, Esteban began working for the Associated Press as a staff photographer assigned in Latin America. His past assignments have included news, Coup D’état, presidential elections, earthquakes and hurricanes.",{'Vincent Alabiso'},1,"{'El Sol', 'Esteban', 'the Associated Press', 'World Press Photo', 'Esteban Felix'}",5,"{'El Comercio', 'Peru', 'Lima', 'Callao'}",4
668,Esteban Vanegas,Colombia,"Esteban Vanegas is a photojournalist based in Medellín, Colombia, and the chief photo editor in El Colombiano Media Group. 

Esteban Vanegas was the co-director of ‘Sobreexpuestos,’ academic conferences on documentary photography at the World Press Photo Exhibition 2019 in Medellín. He was a tutor at the photo creation camp ‘20 photographers’ in 2015 (Amazonas) and 2018 (Bolivia) with Magdalena Herrera (GEO France). He was a winner of the National Journalism Award in 2013 and the National Award of Sports Journalism in 2017.


Esteban Vanegas on Social Media: 
Instagram: @esteban.vanegas
Twitter: @estebanVL","{'Esteban Vanegas', 'Magdalena Herrera'}",2,"{'the World Press Photo Exhibition', 'Amazonas', '@esteban.vanegas', 'Sobreexpuestos', 'the National Journalism Award', '@estebanVL', 'GEO France', 'El Colombiano Media Group', 'Social Media'}",9,"{'Bolivia', 'Colombia', 'Medellín'}",3
669,Esther Horvath,Hungary,"Esther Horvath is a documentary photographer, Fellow at the International League of Conservation Photographers, member of The Photo Society and a science photographer for Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research in Germany.

Horvath wants to show the full research story behind our climate data: who the scientists that are delivering crucial climate change information are, and how they work and live in the most remote locations and harshest environments on the planet.

Since 2015, after her first assignment in the Arctic Ocean with Audubon Magazine, Horvath has dedicated her photography to the polar regions, especially to the Arctic Ocean, documenting scientific expeditions and behind the scene science stories. She follows the work of multiple science groups that are working to better understand the changing polar regions. By documenting the work and life of scientists who deliver important data, Horvath hopes to help make a difference in how people understand what is actually occurring and, in collaboration with scientists, help raise public awareness regarding these fragile environments.

Begun in 2016, her main long-term documentary project IceBird has followed scientific expeditions investigating the thinning ice cover in the Arctic Ocean.

From 2019 - 2020, she spent almost four months on board the Polarstern icebreaker, documenting the MOSAiC expedition in the Central Arctic Ocean, the largest ever Arctic Ocean science expedition. Her documentary, during polar nights, under the extreme conditions of the North Pole is published in the book Into the Arctic Ice. The book, accompanied by essays and contributions by experts, is a testimony to the biggest climatic challenge of our time, and offers insights into this research project as well as the polar landscape worthy of protection.

Horvath’s work has been featured in National Geographic, The New York Times, Audubon Magazine, The Wall Street Journal, TIME, GEO and Stern among others.


World Press Photo Involvement:
Award-winning photographer 2020 Photo Contest

Esther Horvath on Social Media:
Instagram: @estherhorvath
Twitter: @EstherHorvath3 Image credit: Harold Jager",{'Harold Jager'},1,"{'The Wall Street Journal', 'The Photo Society', 'Marine Research', '@estherhorvath', 'Alfred Wegener Institute', 'TIME', 'GEO', 'Audubon Magazine', 'Helmholtz Centre for Polar', 'National Geographic', 'World Press Photo Involvement', 'Horvath', 'the International League of Conservation Photographers', 'Esther Horvath', 'The New York Times'}",15,{'Germany'},1
670,Etinosa Yvonne,Nigeria,"Etinosa Yvonne (b. 1989) is a self-taught documentary photographer and visual artist from Nigeria. She currently resides in Abuja, Nigeria.

Yvonne works with various art forms including photos and videos. The primary focus of her work is the exploration of themes related to the human condition and social injustice.

She has received grants from Women Photograph, National Geographic in partnership with Lagos Photo and Art X, as well as an award from the Royal Photographic Society for her project, It’s All In My Head.

Yvonne has participated in various lab, mentorship and residency programmes. Her works have been shown in festivals, museums and galleries in different parts of the world, as well as having been included in several international publications.


World Press Photo Involvement:
2022 World Press Photo Contest jury member
6x6 Africa Talent

Etinosa Yvonne on Social Media:
Instagram: @etinosa.yvonne
Twitter: @etinosa_yvonne  Portrait credit: Mark Thiessen","{'Yvonne', 'Etinosa Yvonne', '@etinosa_yvonne\xa0 Portrait', 'Mark Thiessen'}",4,"{'National Geographic', 'World Press Photo Involvement', 'Lagos Photo', 'Africa Talent', 'Social Media'}",5,"{'Abuja', 'Nigeria'}",2
671,Ettore Malanca,Italy,,set(),0,set(),0,set(),0
672,Eugen Zimmermann,Germany,,set(),0,set(),0,set(),0
673,Eugene Richards,USA,,set(),0,set(),0,set(),0
674,Eunice Adorno,Mexico,"Eunice Adorno (29) was born in Mexico and has a diploma in photography from the Centro Morelense de las Artes in Cuernavaca. She is a freelance photographer and is part of Culturehall and Pymca. Her work has appeared in such publications as El Independiente, Reforma, Marie Claire and National Geographic Travel. Eunice’s photos have been exhibited across Mexico and were part of the exhibition Peso y Levedad at Photoespaña. Her awards include a Fernando Benítez National Cultural Journalism Award for Fraum Blaum, a series on the lives of Mennonite women. She is currently working on her first book, based on this project, and is a FONCA-sponsored Mexican Artist in Residence at the International Studio & Curatorial Program in New York.","{'Peso', 'Fraum Blaum', 'Marie Claire'}",3,"{'Eunice Adorno', 'the International Studio & Curatorial Program', 'FONCA', 'Pymca', 'Eunice', 'Reforma', 'National Geographic Travel', 'Fernando Benítez National Cultural Journalism Award'}",8,"{'New York', 'El Independiente', 'Mexico'}",3
675,Evelyn Hockstein,United States,"Evelyn Hockstein is a photojournalist based in Washington, DC.

She is President of WPOW, the Women Photojournalists of Washington and has worked in more than 70 countries covering civil war, political unrest, humanitarian crises, and natural disasters for The Washington Post, The New York Times, Helsingin Sanomat, and others.

Hockstein’s major coverage in the United States includes the neo Nazi demonstrations in Charlottesville, Black Lives Matter protests in Washington, DC, the 2020 Presidential campaign, Reproductive Rights for Women, and the 2021 storming of the Capitol.

She has won two Pictures of the Year International awards, including First Prize for her General News coverage of 2020, the NPPA Best of Photojournalism for International News, and been nominated for two Pulitzer Prizes. 

World Press Photo Involvement:
Award-winning photographer 2021 Photo Contest

Evelyn Hockstein on Social Media:
Instagram: @evelynpix
Twitter: @evelynpix Image credit: Astrid Riecken","{'@evelynpix Image', 'Evelyn Hockstein', 'Hockstein'}",3,"{'The Washington Post', 'WPOW', 'Reproductive Rights for Women', 'Social Media', 'Instagram', 'the Women Photojournalists of', 'General News', 'Astrid Riecken', 'The New York Times', 'First Prize'}",10,"{'Washington', 'DC', 'Charlottesville', 'the United States', 'Helsingin Sanomat'}",5
676,Evgenia Arbugaeva,Russia,"Evgenia Arbugaeva was born in Tiksi, Russia, a small town on the Arctic Ocean. In 2009 she graduated from the International Center of Photography in New York. Since then she has worked as a freelance photographer, traveling between New York and Russia. In 2012 Evgenia received the Bright Spark award in the Magenta Foundation’s Flash Forward Competition for emerging photographers, and a Magnum Foundation Emergency Fund Grant. In 2013 she was named one of PDN’s 30 New and Emerging Photographers to Watch and she won the Leica Oskar Barnack Award at the Rencontres International de la Photographie festival in Arles, France. Her work has been exhibited internationally, and has appeared in National Geographic, Le Monde Magazine, Marie Claire, and Io Donna, among others.","{'Io Donna', 'Marie Claire'}",2,"{'PDN', 'the International Center of Photography', 'Le Monde Magazine', 'National Geographic', 'the Magenta Foundation’s', 'Flash Forward Competition'}",6,"{'Arles', 'France', 'Russia', 'Tiksi', 'New York', 'Evgenia'}",6
677,Evgeny Makarov,Germany,"Evgeny Makarov, born 1984 in St.Petersburg, Russia moved to Germany in 1992. He studied social and political science at University of Hamburg. Following he studied photojournalism at the Danish School of Media and Journalism in Aarhus, Denmark. Now he lives and works in Hamburg.",{'Evgeny Makarov'},1,{'University of Hamburg'},1,"{'Germany', 'Aarhus', 'St.Petersburg', 'Hamburg', 'Russia', 'Denmark'}",6
678,Evgeny Stetsko,Russia,,set(),0,set(),0,set(),0
679,Eyal Warshavsky,Israel,,set(),0,set(),0,set(),0
680,Ezra Acayan,Philippines,"Ezra Acayan (b. 1993) is a photojournalist based in the Philippines with a decade of experience covering politics, climate change, and social injustice. Since 2019, he has regularly worked on assignment for Getty Images.

In 2017, together with a team of Reuters journalists, he was awarded a special merit at the Human Rights Press Awards for multimedia reporting on the Philippines' drug war. In 2018, he received grants from both the Ian Parry Scholarship and the Lucie Foundation, as well as being named Young Photographer of the Year at the Istanbul Photo Awards. In 2019, he received a World Press Photo Award in the Spot News category. His work — along with work by other journalists who cover the drug war — has been exhibited in Geneva for three straight years at the United Nations Human Rights Council. It has also been exhibited at the Foreign Correspondents Club in Thailand (FCCT), in France during the Prix-Bayeux Calvados Award for War Correspondents, in Sarajevo during the WARM Festival, and in Germany during the Lumix Festival for Young Photojournalism.

In 2021, he was awarded a World Press Photo Award in the Nature Stories category for his work on Taal volcano's eruption, and — together with a team of Getty Images photojournalists covering the global outbreak of COVID-19 — was named a finalist for the Pulitzer Prize in Feature Photography for his work. In the same year he was also named Photographer of the Year at the inaugural Pictures of the Year Asia, and received several more awards from Picture of the Year International (POYi), National Press Photographers Association, and the Society of Publishers Asia.

He has done work for various outfits such as Getty Images, Reuters, European Pressphoto Agency, and Agence France-Presse. He has also done work for institutions such as the World Bank, Agence Française de Développement, and the African Development Bank; and for non-govermental organizations such as Diakonie Katastrophenhilfe, Care International, and the French Red Cross.


World Press Photo Involvement:
2022 World Press Photo Contest jury member
2021 World Press Photo Contest winner
2019 World Press Photo Contest winner

Ezra Acayan on Social Media:
Instagram: @ezra_acayan
Twitter: @eacayan Photo credit: Ezra Acayan","{'Diakonie Katastrophenhilfe', 'Ezra Acayan'}",2,"{'the United Nations Human Rights Council', 'World Press', 'the French Red Cross', 'the World Bank', 'the Foreign Correspondents Club', 'the Year International', '@eacayan', 'National Press Photographers Association', 'Spot News', 'European Pressphoto Agency', 'the Lucie Foundation', 'World Press Photo Involvement', 'the African Development Bank', 'Care International', 'the Ian Parry Scholarship', 'Getty Images', 'Reuters', 'FCCT', 'Young Photojournalism', 'the Society of Publishers Asia', 'Social Media', 'World Press Photo Award', 'Agence France-Presse', 'the Istanbul Photo Awards', 'Agence Française de Développement'}",25,"{'Geneva', 'Getty Images', 'Philippines', 'Germany', 'Sarajevo', 'France', 'Thailand'}",7
681,Ezra Shaw,USA,"Ezra Shaw has been working for Getty Images as staff photographer for more than 15 years. He began his career assisting many Sports Illustrated photographers in both London and New York City. After settling down in New York City, Shaw spent nearly 10 years traveling the world with New York City as his base before relocating to Sydney, Australia, in 2006 to experience what life “down under” had to offer. After spending nearly three years in Australia, Shaw relocated to Marin County in northern California. His assignments have included both the Winter and Summer Olympic games, the Super Bowl, World Series, World Cup, Tour de France, and numerous other events. His pictures have appeared in many publications around the world, and Shaw has won awards in the World Press Photo, NPPA Pictures of the Year, World Photography Awards, Pictures of the Year International, and the Alexia Foundation for World Peace. In addition to day-to-day game coverage, Shaw enjoys working on human interest feature stories in the sports world. The features have ranged from a 500-mile wheelchair race across Alaska focusing on a former gang member who lost the use of legs in a shooting, to a bike race that crossed 580 kilometers of the Simpson Desert in Australia, and to a story about the about huka-huka wrestling in the Xingu National Park of the Amazon rainforest of Brazil. Shaw is a graduate of Syracuse University’s Newhouse School of Communications.",{'Ezra Shaw'},1,"{'World Photography Awards', 'the World Press Photo', 'Shaw', 'NPPA Pictures', 'the Year International', 'Syracuse University’s', 'Sports Illustrated', 'Newhouse School of Communications', 'Amazon', 'the Alexia Foundation for World Peace'}",10,"{'Australia', 'Marin County', 'Brazil', 'New York City', 'London', 'California', 'Alaska', 'Sydney'}",8
682,Fabio Bucciarelli,Italy,"Fabio Bucciarelli is an Italian photographer and writer known for his documentation of conflicts and the humanitarian consequences of war. Bucciarelli feels the urgency to tell stories of social injustice to provide information focused on human rights. Bucciarelli has spent the last decade covering major, world-changing events in the Middle East, Africa, Europe and Central and South America. He works as a freelancer for international newspapers, magazines and non-governmental organizations. His documentary works have been recognized with the most well-known awards in photojournalism, including the Robert Capa Gold Medal, the World Press Photo Contest, Pictures of the Year International’s (POYI) Photographer of the Year, Prix Bayeux for War Correspondents, Sony International Photography Award, and Days Japan International, among other prizes.  Bucciarelli’s photos have been exhibited in museums, galleries, and international art fairs including Photo London, AIPAD New York, MIA Milano, ArtVerona, Photo Basel and Maco Mexico City. Alongside his projects as a photojournalist, Bucciarelli has worked as a curator and artistic director with several museums and institutions, including the Italian Ministry of Foreign Affairs and International Cooperation. World Press Photo Involvement:
2013 Photo Contest award-winning photographer
2020 Photo Contest award-winning photographer Fabio Bucciarelli on Social Media:
Instagram: @fabio_bucciarelli
Twitter: @fabio_buccia   Image credit: Mike Kamber","{'Photo Basel', '@fabio_buccia \xa0 Image', 'Fabio Bucciarelli', 'AIPAD New York', 'Bucciarelli', 'Mike Kamber'}",6,"{'Japan International', 'MIA Milano', 'ArtVerona', 'Sony International Photography Award', 'the Robert Capa Gold Medal', 'the World Press Photo Contest, Pictures of the Year International’s', 'War Correspondents', 'World Press Photo Involvement', 'the Italian Ministry of Foreign Affairs and International Cooperation', 'Prix Bayeux', 'Photo London', 'Social Media'}",12,{'Maco Mexico City'},1
683,Fabio Cuttica,Italy,"Born in Rome in 1973, Fabio Cuttica spent his childhood in Colombia and Peru, returning to Italy as a teenager. In 2001, having completed studies in photography at the European Institute of Design and Visual Arts in Rome, he became a staff photographer with Contrasto. Since then, Cuttica's work has focused mainly on cultural, social and political aspects of Latin America. His photos have appeared widely, in such publications as Stern, Geo Italia, l'Espresso, Il Corriere della Sera, The Sunday Times Magazine and others. Since 2010, Cuttica has been based in Tijuana, Mexico.","{'Cuttica', 'Fabio Cuttica', 'Il Corriere'}",3,"{'Geo Italia', 'the European Institute of Design and Visual Arts', ""l'Espresso"", 'Contrasto', 'The Sunday Times Magazine'}",5,"{'Colombia', 'Peru', 'Rome', 'Mexico', 'Tijuana', 'Italy', 'Stern'}",7
684,Fábio Erdos,Brazil,"Fábio Erdos is a Brazilian filmmaker and photographer member of Panos Pictures. He focuses on documenting stories through a personal and intimate narrative, aiming to bring awareness and have an impact on social and environmental issues.

Fábio Erdos began his career in early 2015 after completing cinema school at Darcy Ribeiro Film School in Rio de Janeiro, Brazi.

He is a 2019 World Press Photo Digital Storytelling Contest winner with his film Marielle and Monica, produced for The Guardian. His films have been shown at the GLAAD, in New York, One World Film Festival, in Prague, La Gacilly Photo Festival, in France, the Museum of Tomorrow and the Museum of Modern Art, in Rio de Janeiro, among other festivals around the world.

Previous to his film and photography career, Fábio worked for the international non-profit ActionAid for many years, where he gained experience in the grassroots work on poverty and social inequality. During this time, he worked in rural communities in Northeast Brazil, a region that suffers from one of the worst droughts in the last 50 years, in Haiti, a year after the devastating earthquake of 2010, and in the rural communities of Mozambique. These experiences inspired him to pursue filmmaking and photography as a way to convey contemporary socio-environmental issues.

Erdos' clients include several international non-profits and media outlets, such as ActionAid, Global Witness, CNN's Great Big Story, and The Guardian. He is also a contributor to The Everyday Projects.


World Press Photo Involvement:
2019 Digital Storytelling Contest winner

Fábio Erdos on Social Media: 
Instagram: @fabio_erdos
Twitter: @FabioErdos Photo credit: Fábio Erdos","{'Monica', 'Fábio', 'Fábio Erdos'}",3,"{'La Gacilly Photo Festival', '@FabioErdos Photo', 'the Museum of Modern Art', 'Guardian', 'ActionAid', 'the Museum of Tomorrow', 'The Everyday Projects', 'World Press Photo Involvement', 'Darcy Ribeiro Film School', 'Panos Pictures', 'CNN', 'Great Big Story', 'Social Media'}",13,"{'Rio de Janeiro', 'Marielle', 'Northeast Brazil', 'Brazi', 'Prague', 'France', 'New York', 'Haiti'}",8
685,Fabiola Ferrero,Venezuela,"Fabiola Ferrero is a Venezuelan journalist and photographer currently based between Venezuela and Colombia. Having grown up in Caracas, Fabiola Ferrero’s work explores the emotional side of Venezuela's crisis and focuses on the human condition through writing and photography. 

She received the Inge Morath Award 2021, is a World Press Photo’s 6x6 Talent Program talent, and a Magnum Foundation Fellow. Fabiola Ferrero is also a member of Ruda, a collective of Latin-American female photographers.

As well as developing independent investigations in Latin America, her work has been featured in TIME, The New York Times, National Geographic, M Magazine, Le Monde, The Wall Street Journal, Bloomberg BusinessWeek, and others.

Interested in bringing opportunities to other newcomer photographers in the region, Fabiola founded Semillero Migrante, a mentorship program around migration that empowers Venezuelans and Colombians and promotes integration of both cultures.


World Press Photo Involvement: 
2022 World Press Photo Contest jury member
6x6 South America Talent
2019 Joop Swart Masterclass participant

Fabiola Ferrero on Social Media:
Twitter: @fabiolaferrero
Instagram: @fabiolaferrero",{'Joop Swart Masterclass'},1,"{'Fabiola Ferrero’s', 'The Wall Street Journal', 'Semillero Migrante', 'Fabiola', 'TIME', 'Le Monde', '@fabiolaferrero', 'World Press Photo Involvement', 'National Geographic, M Magazine', 'Instagram', 'Fabiola Ferrero', 'The New York Times', 'Social Media'}",13,"{'Bloomberg', 'Venezuela', 'Colombia', 'Caracas'}",4
686,Faiz Abubakr Mohamed,Sudan,"Faiz Abubakr Mohamed is a photographer based in Khartoum, Sudan. He has a bachelor's degree in public relations from the Sudan University of Science and Technology. With this photography, Faiz Abubakr Mohamed has participated in exhibitions both in Sudan and internationally - in India, Romania, Egypt and The United Arab Emirates. His work has been shown in The New York Times and he is a member of the African Photojournalism Database, a directory of emerging and professional African visual journalists established by the World Press Photo Foundation and Everyday Africa.


World Press Photo Involvement:
2022 World Press Photo Contest winner Faiz Abubakr Mohamed on Social Media:
Instagram: @faizabubak
Twitter: @AbubakrFawaz Portrait credit: Faiz Abubakr Mohamed","{'Faiz Abubakr Mohamed', '@AbubakrFawaz Portrait'}",2,"{'@faizabubak', 'the African Photojournalism Database', 'the Sudan University of Science and Technology', 'World Press Photo Involvement', 'the World Press Photo Foundation', 'The New York Times'}",6,"{'Everyday Africa', 'Khartoum', 'Sudan', 'Romania', 'The United Arab Emirates', 'Egypt', 'India'}",7
687, Fang Qianhua,China,,set(),0,set(),0,set(),0
688,Farah Abdi Warsameh,Somalia,,set(),0,set(),0,set(),0
689, Farnood,Iran,,set(),0,set(),0,set(),0
690,Farouk Batiche,Algeria,Image credit: Houssem / Labo Photo Olympic,set(),0,{'Houssem / Labo Photo Olympic'},1,set(),0
691,Fatemeh Behboudi,Iran,"Fatemeh Behboudi was born in Tehran, Iran. She studied photography and, after graduating in 2007, has worked for several Iranian news services including the Iranian Quran News Agency (IQNA), student news agency Pana, Bornanews and Mehr (MNA).  Exhibitions she has participated in include the Ashura Picture Exhibition 2012 and the Photo Festival Revolution and War 2012 Tehran. In the 2010 Doorbin.net symposium she won second prize in the documentary competition. She was a participant in the 2013 Joop Swart Masterclass. In 2015, she placed first in the Feature Picture Story - Freelance/Agency category of Pictures of the Year International and was one of five exhibited during Obscura's Asian Women Photographers’ Showcase.","{'Joop Swart Masterclass', 'Fatemeh Behboudi'}",2,"{'Obscura', 'Pictures of the Year International', 'Bornanews', 'Pana', 'IQNA', 'MNA', 'the Ashura Picture Exhibition 2012'}",7,"{'Iran', 'Mehr', 'Tehran'}",3
692,Fatima Shbair,Palestine,"Fatima Shbair (1997) is a Palestinian photojournalist based in Gaza City, Palestine. She is a self-taught photographer who has an interest in documenting people's stories, cultures, and social issues. After studying business administration for three years at Al-Azhar University in Gaza, Shbair switched to study journalism and began concentrating on photojournalism in 2019 through independent study and working in the field. In 2020, Shbair began to receive assignments from several international agencies, including Getty Images and The New York Times, to cover her hometown as tensions continued between Israel and Palestine. Her assignments increased in 2021 but came with the challenge of working during a global pandemic, which also strained and ravaged her own community. Shbair is currently a contributor to Everyday Middle East and continues her work with Getty Images. Her work has been exhibited in Palestine, the UAE, London, and Paris. 
World Press Photo Involvement:
2022 World Press Photo Contest winner Fatima Shbair on Social Media:
Instagram: @fatimashbair
Twitter: @FatimaMshbair Portrait credit: Zainab Shbair","{'Zainab Shbair', 'Fatima Shbair'}",2,"{'Fatima Shbair', 'Al-Azhar University', '@fatimashbair', 'The New York Times', 'Social Media'}",5,"{'Gaza', 'Shbair', 'Israel', 'Getty Images', 'UAE', 'Paris', 'Palestine', 'London', 'Gaza City'}",9
693,Faustino Soriano,Spain,,set(),0,set(),0,set(),0
694,Fausto Podavini,Italy,,set(),0,set(),0,set(),0
