,id,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
713,713,Francesco Cito,Italy,,set(),0,set(),0,set(),0
714,714,Francesco Comello,Italy,"Whilst he was at school he became interested in photography and now he has come up with the idea of producing photographic stories. To accomplish this goal he has traveled extensively, getting to learn and discover different cultures and observe different traditions in countries around the world. He has held many exhibitions of his photographic work both in Italy and overseas. He has also published some of his photographic work in Italian magazines.",set(),0,set(),0,{'Italy'},1
715,715,Francesco Giusti,Italy,,set(),0,set(),0,set(),0
716,716,Francesco Pistilli,Italy,"He is currently focusing on reportage and editorial portraiture with political, social and environmental contents. He has worked in Sierra Leone, Central African Republic, Sudan, Senegal, The Philippines, India, Brazil, Palestine, Costa Rica, Uruguay, Egypt, Hungary, Greece, Argentina, Indonesia and Turkey. Pistilli’s work has been published and distributed widely in international and national magazines including TIME, New York Times, the BBC, M le magazine du Monde, L'Espresso, Internazionale, Politico, Wired, Elle, D di Repubblica, Vanity Fair, Super8 - La Repubblica, Corriere della Sera, Süddeutsche Zeitung, Sportweek, Expressen, Grazia, L'Edition du soir, OneWorld magazine, TRVL magazine and Tico Times. He has also worked with NGOs Emergency (IT), Open Society Foundations, and Greenpeace Philippines.",{'du Monde'},1,"{'Süddeutsche Zeitung', 'New York Times', 'Elle', 'Tico Times', ""L'Espresso"", 'TIME', 'BBC', 'TRVL', 'Vanity Fair', 'Greenpeace Philippines', 'OneWorld'}",11,"{'Uruguay', 'Society Foundations', 'Costa Rica', 'Turkey', 'Palestine', 'Philippines', 'India', 'Sudan', 'Grazia', 'Greece', 'Expressen', 'Indonesia', 'Sierra Leone', 'Politico', 'Wired', 'Argentina', 'Sportweek', 'Senegal', 'Egypt', 'Corriere', 'Brazil', 'Hungary', 'Central African Republic', 'Internazionale'}",24
717,717,Francesco Zizola,Italy,"Born in 1962, since 1980's he has documented the world's major conflicts and their hidden crisis, focusing on the social and humanitarian issues that define life in the developing world as well as in western countries. A strong ethical commitment and a distinctive aesthetic eye are specific features of his pictures. His assignments and personal projects have taken him around the world, giving him the opportunity to carefully portray forgotten crises and relevant issues often disregarded by the mainstream media. In 2008 he founded 10b Photography (Rome, Italy), a multipurpose centre for digital photography promoting photography culture through exhibitions, workshops and lectures. He received several awards - including nine awards in World Press Photo contests and four Picture of the Year International awards (POYi) – and published seven books. Francesco lives in Rome, Italy.",set(),0,{'World Press Photo'},1,"{'Rome', 'Italy'}",2
718,718,Francis Kohn,France,"In 1982, he became AFP’s Washington correspondent, and covered conflicts in central America and Mexico. In 1995 Francis was appointed AFP editor-in-chief in France. In May 2000, he returned to Washington and worked as editor-in-chief for North America until June 2006, followed by a four year period as the Latin America regional director. He was named AFP’s director of photography in January 2012. Under his leadership AFP has been recognized with two Pulitzer prizes in photography, the Visa d’Or, as well as a number of World Press Photo awards.",{'Francis'},1,"{'World Press Photo', 'AFP'}",2,"{'America', 'Mexico', 'Washington', 'France'}",4
719,719,Francis Kokoroko,Ghana,"Francis Kokoroko is a freelance photographer and artist based in Accra, Ghana. 

After graduating with a B.Sc. in Computer Science from Ashesi University College, he switched to photography full-time a few years later.

Kokoroko is interested in aesthetic culture and the varied photographic imagery interpretations, exploring these themes through the historical, popular culture, and portraiture. He currently works on long term personal projects and assignments for international media and news agencies such as Reuters, Le Monde, The New York Times, and The Wall Street Journal. On his Instagram account, Francis Kokoroko chronicles his encounters in Ghana and his journeys through the African continent. His work has been exhibited at Addis Foto in 2016 and Lagos Photo in 2017. 
Francis Kokoroko on Social Media:
Instagram: @accraphoto
Twitter: @AccraPhoto","{'Francis Kokoroko', 'Kokoroko', 'Le Monde'}",3,"{'Instagram', '@accraphoto', 'Ashesi University College', 'Lagos Photo', 'The Wall Street Journal', 'Computer Science', 'Reuters', 'Social Media', 'The New York Times'}",9,"{'Addis Foto', 'Ghana', 'Accra'}",3
720,720,Francis Latreille,France,,set(),0,set(),0,set(),0
721,721,Francis Pérez,Spain,"As a freelance professional underwater photographer, he focuses on the submarine world with a unique style. His pictures show his own point of view in places such as Indonesia, Red Sea, Malaysia, South Africa, Mozambique, Philippines, Micronesia, Galapagos Islands, Mexico, Chile and Canary Islands, where he has focused on cetaceans. He's a collaborator of National Geographic Spain in articles about biodiversity of Canary Islands. His work has been published in many books, such as Blue Hope of Sylvia Earle, Book 50 anniversary of Red List UICN, and many international magazines as National Geographic (Spain) Scuba Diving (USA), Sumerge (South Africa), aQua (Spain), Ocean Geographic (Australia). Awarded with many international prizes as Ocean Geographic (Australia) Ocean view of Nature Best Photography (USA), Por el Planeta of National Geographic and Televisa (Mexico).",{'Sylvia Earle'},1,"{'Nature Best Photography', 'aQua', 'Ocean Geographic', 'Por el Planeta', 'Red List UICN', 'National Geographic', 'Scuba Diving', 'National Geographic Spain', 'Sumerge (South Africa'}",9,"{'Malaysia', 'Red Sea', 'Galapagos Islands', 'Chile', 'Spain', 'Televisa', 'Australia', 'Mexico', 'Mozambique', 'Philippines', 'Canary Islands', 'Indonesia', 'Micronesia', 'Ocean', 'South Africa'}",15
722,722,Franck Robichon,France,,set(),0,set(),0,set(),0
723,723,Franck Seguin,France,"Franck Seguin is the Deputy Picture Editor at L’Équipe SNC Group, a publishing company in Paris that owns the French newspaper L’Équipe, along with the French equivalent of Sports Illustrated, L’Équipe Magazine. He works across these titles as well as France Football, Velo Mag and L’Équipe.fr, the first sports website in France. Seguin has covered the Olympics, numerous football and rugby World Cup tournaments and specialises in covering sports features in-depth, in particular free diving. Before joining L’Équipe, Seguin spent 10 years at the Tempsport picture agency, and prior to that he worked at the Paris-based Sygma photo agency. He also ran his own general features agency, Deadline, which covered the Cannes Film Festival as well as political and social news events.",{'Velo Mag'},1,"{'France Football', 'L’Équipe SNC Group', 'Sports Illustrated', 'Seguin'}",4,"{'Tempsport', 'Deadline', 'Paris', 'France'}",4
724,724,Francois Laso,Ecuador,"Francois Laso, born in Belgium, is a researcher, curator and visual artist.  He has Masters degrees in Visual Anthropology, and in Photography, and is currently a Professor at the University of the Arts (UA). His research centres on cultural history, photography and visual studies. Laso’s research publications include The look and memory and The inverted footprint, and his photography books include Another sky do not expect and Never a River.  Laso is the Director of the Photojournalism for Peace Prize, and has been a jury member of POY Latam (2019). He has also received numerous awards, including the New Mariano Aguilera Award (2017), National Photography Award (2012), Hugo Cifuentes (2009) and José Peralta Award (2008).  Image Credit: Francois 'Coco' Laso","{'Francois Laso', 'José Peralta Award', 'Laso'}",3,"{'National Photography Award', 'the University of the Arts (UA', 'Hugo Cifuentes', 'the Photojournalism for Peace Prize', 'POY Latam'}",5,"{'Photography', 'Belgium'}",2
725,725,François Le Diascorn,France,,set(),0,set(),0,set(),0
726,726,François Lochon,France,,set(),0,set(),0,set(),0
727,727,François Paolini,France,,set(),0,set(),0,set(),0
728,728,Francois Verster,South Africa,,set(),0,set(),0,set(),0
729,729,Françoise Demulder,France,,set(),0,set(),0,set(),0
730,730,Frank Attard,Malta,,set(),0,set(),0,set(),0
731,731,Frank Cancellare,USA,,set(),0,set(),0,set(),0
732,732,Frank Fournier,France,,set(),0,set(),0,set(),0
733,733,Frank Hoy,USA,,set(),0,set(),0,set(),0
734,734,Frank Hulley-Jones,United Kingdom,"Frank Hulley-Jones is the design lead for the visuals team at the Guardian newspaper in London, which produces interactive pieces to help audiences engage with complex and important news stories. He collaborates with photographers, editors and animators to bring their work to life.

Most recently, Frank Hulley-Jones led the design of the Guardian's US election live coverage. The results page saw over 100 million page views, making it the news site's most successful article in history.

In 2019, Frank Hulley-Jones was awarded a Malofiej and a D&AD wooden pencil for a piece exploring how life online is experienced differently in India, Cuba, China and Russia. In 2018, his team won a D&AD wooden pencil for the redesign and branding of theguardian.com. He also has multiple SNDs including for a memorial to the victims of the Grenfell Tower fire.


Frank Hulley-Jones on Social Media:
Instagram: @tobefrank
Twitter: @tobefrankj Portrait credit: Léonie Chao-Fong","{'Léonie Chao-Fong', 'Frank Hulley-Jones'}",2,"{'D&AD', '@tobefrank', '@tobefrankj', 'Guardian', 'Social Media'}",5,"{'London', 'Russia', 'US', 'China', 'India', 'Cuba'}",6
735,735,Frank Johnston,USA,,set(),0,set(),0,set(),0
736,736,Frank Kalero,Spain,"Frank Kalero is a cultural manager, publisher and curator. He has a media communication degree from Pompeu Fabra University in Barcelona. He’s the former resident at Benetton's Fabrica in Italy, founder of OjodePez magazine in Spain, and co-founder of the pan-Asian photography magazine Punctum in India. In Berlin, he also co-founded Invaliden1 Galerie as well as the art magazine The World According To. Kalero co-created and directed the Ojodepez Photo Meeting Barcelona and art directed the GetxoPhoto Festival (Bilbao) for three years. He is also currently part of the team developing an online platform for new media called SCREEN as well as part of the WYNG Photo Award consultant team (Hong Kong). He was the artistic director for the fourth Biennial PhotoQuai, held at the Museum Quai Branly in Paris and is preparing the launch of the Latin American Punctum with Estudio Madalena in Sao Paulo. In addition, Kalero is part of the team in charge of launching a new photo festival, GoaPhoto, in India. Frank lives and works in Sao Paulo, Brazil.","{'Frank', 'Frank Kalero', 'Galerie'}",3,"{'the Latin American Punctum', 'Punctum', ""Benetton's"", 'SCREEN', 'Pompeu Fabra University', 'GoaPhoto'}",6,"{'Spain', 'Paris', 'Brazil', 'Berlin', 'Barcelona', 'India', 'Fabrica', 'Sao Paulo', 'Hong Kong', 'Italy'}",10
737,737,Frank Wechsel,Germany,,set(),0,set(),0,set(),0
738,738,Frans Lanting,The Netherlands,,set(),0,set(),0,set(),0
739,739,Frans Stoppelman,The Netherlands,,set(),0,set(),0,set(),0
740,740,Franz Votava,Austria,,set(),0,set(),0,set(),0
741,741,Fred Fischer,Netherlands Antilles,"Fred Fischer was born in 1905 in Grinzing near Vienna in Austria. In the 1920s he had been an assistant of the German cinematographer Eugen Schüfftan, before moving to Amsterdam. In the 1930s, Fischer came to Curaçao in the Netherlands Antilles, working as a jazz musician on a ship. After a performance in Piscadera, he decided to stay on the island. He set up a photo and film studio and also became a press photographer. When the Second World War broke out, Fischer was working on board of a KNSM ship on a film about Curaçao. Although being a jew, but because of his Austrian nationality, Fischer was interned in a camp on the island of Bonaire during the Second World War, the Netherlands being at war with Austria and Germany. After the war, Fischer stayed on Curaçao where he ran his studio Foto Fischer. He became famous for being one of the first underwater photographers. He was the island's so-called nestor of photography and trained many professional photographers and amateurs. Fred Fischer died in Willemstad, Curaçao, in 1981. His negatives were acquired by the Curaçao National Archive in the 1980s.","{'Eugen Schüfftan', 'Fred Fischer', 'Foto Fischer'}",3,"{'Piscadera', 'the Curaçao National Archive', 'Curaçao'}",3,"{'Grinzing', 'Austria', 'Germany', 'the Netherlands Antilles', 'Amsterdam', 'Vienna', 'Willemstad', 'Netherlands'}",8
742,742,Fred Ihrt,Germany,"Manfred Ihrt (Pforzheim, 1918-Hamburg, 2005) worked as a press photographer for the German newspaper the Rhein-Neckar-Zeitung between 1948 and 1951. In 1957, he became a staff photographer at Stern magazine. ","{'Manfred Ihrt', 'Rhein'}",2,set(),0,"{'Stern', 'Pforzheim'}",2
743,743,Fred Ramos,El Salvador,"Fred Ramos, born in 1986, lives and works in El Salvador. He studied graphic design, but began practicing photography in 2005. Currently, Fred is a staff photographer for El Faro.","{'Fred Ramos', 'Fred'}",2,{'El Faro'},1,{'El Salvador'},1
744,744,Fred Schoellhorn,Germany,,set(),0,set(),0,set(),0
745,745,Fred Squillante,USA,,set(),0,set(),0,set(),0
746,746,Fred Sweets,USA,,set(),0,set(),0,set(),0
747,747,Fred Vuich,USA,,set(),0,set(),0,set(),0
748,748,Fred Ward,USA,,set(),0,set(),0,set(),0
749,749,Freddy Lindström,Sweden,,set(),0,set(),0,set(),0
750,750,Frédéric Noy,France,"Born in 1965, Frederic Noy is a freelance photographer based in Central Asia and represented by Panos Pictures.   Formerly based in Tanzania, Nigeria, Sudan, Chad and Uganda, much of his work focuses on the history, beliefs and traditions that are in flux due to the changing circumstances in these countries. A proponent of ‘slow journalism’, he conducts long-term and personal photographic projects, and has produced several multimedia projects.  Noy spent eight years focusing on LGBTI+ communities in the Great Lakes region in Africa, and published the book Ekifire, with Les Belles Lettres, on this work. The story was awarded with a Pride Photo Award. His long-term project examining the dilemma between survival and environmental preservation facing the people living along the waterways of the Lake Victoria region in east Africa, was awarded a Visa d'or Feature Award in 2019.  His work is regularly featured at festivals, including Visa pour l'Image in Perpignan, France, and has been published extensively by French and international media.  World Press Photo Involvement: 2020 Photo Contest award-winning photographer Frederic Noy on Social Media:Instagram: @fredericnoyTwitter: @fuddish  Image credit: Chris Dennis Rosenberg",{'Chris Dennis Rosenberg'},1,"{'Panos Pictures', 'a Pride Photo Award', 'Frederic Noy', 'Ekifire', 'Visa', 'Social Media'}",6,"{'Tanzania', 'Chad', 'Uganda', 'Les Belles Lettres', 'France', 'Nigeria', 'Perpignan', 'Sudan'}",8
751,751,Frederick Keith Hoare,United Kingdom,"Frederick Keith Hoare was a staff photographer with the Belfast Telegraph before joining the Daily Mirror in February 1972. In 1966, he was awarded the Irish Photogrpaher of the Year award and in 1968 he became the first British photographer to be awarded the Travel Fellowship by the Commonwealth Press Union, working in New Zealand and South East Asia.",{'Frederick Keith Hoare'},1,"{'the Irish Photogrpaher of the Year award', 'the Daily Mirror', 'the Commonwealth Press Union'}",3,"{'New Zealand', 'Belfast'}",2
752,752,Frederik Buyckx,Belgium,"Frederik Buyckx was born in 1984 in Antwerp, Belgium. He received a master’s degree in advertising design at Sint-Lucas Antwerp in 2007. He has been studying photography since 2008 at the Royal Academy of Fine Arts in Ghent, Belgium. In addition to his personal projects, he has worked for National Geographic Magazine and the Belgian Newspaper De Standaard.",{'Frederik Buyckx'},1,"{'National Geographic Magazine', 'the Belgian Newspaper De Standaard', 'Sint-Lucas Antwerp', 'the Royal Academy of Fine Arts'}",4,"{'Belgium', 'Antwerp', 'Ghent'}",3
753,753,Fredi Casco,none,"Fredi Casco was born in 1967 in Asunción, Paraguay, where he lives today. 

	Casco became an artist, photographer and writer in 1997. His work, awarded by the grant for emerging artists from the Cisneros Fontanals Art Foundation (2007), mainly consists of photographic images that he collects, as well as videos and installations.

	He is a member of the editorial committee for the photography review Sueño de la Razón, cofounder of El Ojo Salvaje, Mes de la Fotografía en Paraguay, and Artistic Director at Texo Foundation for contemporary art in Asunción.

	His work challenges the power of media and compares the historical importance of official culture with the popular and indigenous culture. He analyses the transparency and neutrality of television and print media, and reveals certain media strategies of the postcolonial system in place in Paraguay.

	His work has been presented in solo and group exhibitions such as the 3rd, 5th and 10th Mercosul Biennials in Porto Alegre in 2001, 2005 and 2015, the 10th Biennial in Havana, Cuba in 2009. He also took part in El Atlas del Imperio, an exhibition organized by the Italian-Latin American Institute at the 55th Venice Biennale (Italy) and America Latina, Photographies 1960-2013 organized by the Fondation Cartier pour l'Art Contemporain (Paris), in 2013, Now You See it, Photography and Concealment at The Metropolitan Museum of Art (NY) and his first solo show in Europe La Fascination des Sirenes at the Maison de l´Amerique Latine (Paris). Filmography Vivid Memories, 2014, 30th Anniversary film of the Fondation Cartier pour l'art contemporain. Colour film, 52 minutes.
	Revuelta(s), 2013, documentary film co-directed with Renate Costa for the Fondation Cartier pour l´art contemporain. Colour film, 140 minutes.
	Ghost Chaco, 2009. Colour film, 6:41 minutes.","{'Porto Alegre', 'Contemporain', 'America Latina'}",3,"{'Europe La Fascination des Sirenes', 'the Cisneros Fontanals Art Foundation', 'Fredi Casco', 'Casco', 'El Ojo Salvaje', '10th Mercosul Biennials', 'Mes de la Fotografía', 'Sueño de la Razón', 'The Metropolitan Museum of Art', 'Paraguay', 'Texo Foundation', 'Filmography Vivid Memories'}",12,"{'El Atlas del Imperio', 'Paris', 'Havana', 'Chaco', 'Asunción', 'Cuba', 'Italy'}",7
754,754,Friedl Ulrich,Germany,"German photo journalist Friedl Ulrich (1920-1982) joined the German daily newspaper Nürnberger Nachrichten not long after its foundation in October 1945. He stayed with the newspaper until his death in 1982, first as a photographer and later as the chief photo editor.","{'Nürnberger Nachrichten', 'Friedl Ulrich'}",2,set(),0,set(),0
755,755,Frits Meijst,The Netherlands,,set(),0,set(),0,set(),0
756,756,Fritz Peyer,Germany,"Fritz Peyer (München, 1919 - Hamburg, 2001) was a German photojournalist and theatre photographer, specialized in opera, ballet and horse sports. Peyer started training as an engineer, but was drafted into the army before he could finish his education. After the Second World War, Peyer came to work in the theatre by chance, first as a lighting technician and stagehand at the Hamburger Kammerspielen, and later as an assistant of theatre photographer Rosemarie Clausen. Peyer was a self-taught photographer, who worked as a freelance photographer for the Hamburger Kammerspielen and the Hamburgische Staatsoper. He was also an accomplished sports photographer, specialized in horse sports such as riding and jumping shows. In 1996, he was awarded the Alexander Zinn Prize by the city of Hamburg. In 2004, Fritz Peyer's widow donated his entire collection of horse negatives to the Deutsches Pferdemuseum in Verden near Bremen. His theatre photos are kept in the Deutsches Theatermuseum in München.","{'Fritz Peyer', 'Rosemarie Clausen', ""Fritz Peyer's""}",3,"{'Peyer', 'the Deutsches Pferdemuseum'}",2,"{'Verden', 'Hamburg', 'München', 'Bremen'}",4
757,757,Fritz Pölking,Germany,,set(),0,set(),0,set(),0
758,758,Fu Yongjun,China,"Fu Yongjun is the director of photography for Hangzhou City Express. He has won three gold awards and one silver award in the China International Press Photo Contest. He was nominated as one of China’s Top 10 Photojournalists in 2002. And, in 2007, he won the Golden Statue Award for China Photography. He has published several books of his work such as Lens Down, Lens on West Lake, and I Miss You So Much. His photographic works have been collected by National Art Museum of China.","{'Fu Yongjun', 'Lens Down'}",2,"{'the China International Press Photo Contest', 'National Art Museum of China', 'Hangzhou City Express'}",3,{'China'},1
759,759,Fulvio Bugani,Italy,"Fulvio Bugani was born in Bologna, Italy, in 1974. Passionate about photography since childhood, he turned this passion into a profession. Bugani has been a professional photographer for more than 15 years, working with various magazines, associations and NGOs and organizing personal exhibitions. After a close collaboration with major photo studios in Bologna started in 1995, he founded his own studio in 1999. He actively collaborates with Amnesty International and MSF.",{'Fulvio Bugani'},1,"{'Amnesty International', 'Bugani'}",2,"{'Bologna', 'Italy'}",2
760,760,G.M.B. Akash,Bangladesh,,set(),0,set(),0,set(),0
761,761,Gabous Yahya,Tunisia,"Gabous Yahya was born in 1982 in Paris. As the son of an audiovisual technology professor, his passion for photography started at a very young age.When he was just 14 years old, Gabous began his career at the Tunisian Federation of Amateur Filmmakers, where he received his first photography course and learned the techniques of shooting, developing and printing.He earned his bachelor’s degree in experimental sciences and continued his studies in information science and documentation until he received his master’s degree from the Higher Institute of Documentation in Manouba.After graduating, he joined the team of photojournalists at Grand Maghreb Medias, which publishes a range of newspapers and magazines in Arabic and French.His photography assignments have included national events in Tunis as well as other parts of the country. His picture of an old man crossing the street won an award in the 2012 Canon Dynamic World competition. Yahya plans to launch his own agency, which he will call Ndhar.",{'Yahya'},1,"{'Grand Maghreb Medias', 'the Tunisian Federation of Amateur Filmmakers', 'the Higher Institute of Documentation'}",3,"{'Manouba', 'Paris', 'Ndhar'}",3
762,762,Gabriel Bouys,France,,set(),0,set(),0,set(),0
763,763,Gabriel Dance,USA,"He began his career in 2006 at The New York Times, eventually serving as chief multimedia producer. After more than four years creating award-winning projects, Dance left the Times to help launch the iPad-only news source, The Daily, as art director for news. Dance joined The Guardian as interactive editor in 2012. Based in New York City, he helped launch the Guardian US, building a graphics team that garnered awards and recognition for interactive storytelling. He has won two Emmy awards for new approaches to digital storytelling, and was part of a group of journalists who won the 2014 Pulitzer Prize for Public Service for coverage of widespread secret surveillance by the National Security Agency.
	 
	Dance is currently a managing editor for The Marshall Project, a non-profit investigative journalism startup focusing on crime and punishment in the United States.",set(),0,"{'The Marshall Project', 'the National Security Agency', 'Times', 'Dance', 'iPad', 'Guardian', 'The New York Times'}",7,"{'the United States', 'US', 'New York City'}",3
764,764,Gabriel Dominique Duval,France,,set(),0,set(),0,set(),0
765,765,Gabriele Galimberti,Italy,"Gabriele Galimberti is an Italian photographer based in Tuscany. He has spent the last few years working on long-term documentary photography projects around the world, some of which have become books, such as Toy Stories, My Couch Is Your Couch, The Heavens and The Ameriguns. 

Galimberti’s work mainly consists of telling the stories, through portraits and short stories, of people around the world, recounting their peculiarities and differences, the things they are proud of and the belongings with which they surround themselves. Social media is a fundamental part of the research needed to get in touch, discover and produce those stories. 

Galimberti committed to documentary photography after starting out as a commercial photographer and joining the artistic collective Riverboom. He is currently traveling around the world, working on both solo and collective projects, as well as on assignments for international publications such as National Geographic magazine, Stern, Geo, Le Monde, La Repubblica and Marie Claire. 

His pictures have been exhibited in shows worldwide, including Les Rencontres d’Arles in France, the Festival Images in Switzerland, and the V&A museum in London, United Kingdom, and have won several prizes including the GRIN 2020, the APP 2020 and the Best In Show prize at the New York Photo Festival. 

Gabriele Galimberti became a National Geographic photographer in 2016 and regularly works for the magazine.

World Press Photo Involvement:
2021 Photo Contest award-winning photographer

Gabriele Galimberti on Social Media:
Instagram: @gabrielegalimbertiphoto Image credit: Paolo Verzone","{'Gabriele Galimberti', '@gabrielegalimbertiphoto Image', 'Galimberti', 'Paolo Verzone', 'La Repubblica', 'Marie Claire'}",6,"{'the Festival Images', 'V&A', 'Galimberti', 'Riverboom', 'the New York Photo Festival', 'National Geographic', 'Le Monde', 'Toy Stories', 'Social Media'}",9,"{'London', 'Stern', 'United Kingdom', 'France', 'Switzerland'}",5
766,766,Galina Mosalova,none,She specializes in the development and realization of transmedia projects. She has over seven years' experience as a second director and producer and holds an MA in new media from the Moscow School of Social and Economic Sciences. Galina’s vision sits at the crossroads of media and activism. Her aim is to destigmatize difficult social issues and vulnerable social groups.,set(),0,"{'MA', 'the Moscow School of Social and Economic Sciences'}",2,{'Galina'},1
767,767,Gareth Copley,United Kingdom,,set(),0,set(),0,set(),0
768,768,Garo Lachinian,USA,,set(),0,set(),0,set(),0
769,769,Gary Friedman,USA,,set(),0,set(),0,set(),0
770,770,Gary Knight,UK,"Gary Knight is a photographer, founder of the Program for Narrative & Documentary Practice at the Tufts University Institute for Global Leadership, and co-founder of the VII Photo agency as well as the GroundTruth Project. He divides his time between academia and long-term photography projects. His entry into photography came in the late 1980s, when he moved to South East Asia, portraying conflict within a region coming to terms with the end of the Cold War. By 1993, he had returned to Europe and was focusing on documenting various forms of injustice, from war crimes to poverty issues that continue to be the primary focus of his professional life. From 1999 to 2009, Knight was a contract photographer for Newsweek, during which time he photographed the invasion of Iraq, the war in Afghanistan, Darfur, and other significant world news events. In 2009, he was awarded a prestigious Nieman Fellowship at Harvard University and moved to the USA. He has been a member of the World Press Photo contest jury on three previous occasions, and in 2008 was on the online jury selecting photojournalists to participate in the organization's MENA (Middle East and North Africa) training program.",{'Gary Knight'},1,"{'the World Press Photo', 'Newsweek', 'Knight', 'the Program for Narrative & Documentary Practice', 'Harvard University', 'the Tufts University Institute for Global Leadership'}",6,"{'Afghanistan', 'Iraq', 'USA', 'Darfur', 'North Africa'}",5
771,771,Gautier Deblonde,France,,set(),0,set(),0,set(),0
772,772,Geert Kesteren,The Netherlands,,set(),0,set(),0,set(),0
773,773,Gema Juárez Allen,Argentina,Photo credit: Gema Juárez Allen by © Emilio Mayorga,{'Gema Juárez Allen'},1,set(),0,set(),0
774,774,Gen Yamaguchi,Japan,,set(),0,set(),0,set(),0
775,775,Genevieve Renson,France,,set(),0,set(),0,set(),0
776,776,Gennady Koposov,Russia,"Gennady Koposov (1938-2001) was 17 years old when his first photograph was published in a newspaper. In 1950s, he joined the Soviet news agency Itar Tass and in 1960 he started working for the magazine Ogonyok where he stayed until his death in 2001.",{'Gennady Koposov'},1,"{'Ogonyok', 'Itar Tass'}",2,set(),0
777,777,Geoff Tompkinson,United Kingdom,,set(),0,set(),0,set(),0
778,778,Georg Böhlje,Germany,,set(),0,set(),0,set(),0
779,779,Georg Fischer,Germany,,set(),0,set(),0,set(),0
780,780,Georg Munker,Germany,,set(),0,set(),0,set(),0
781,781,George Georgiou,United Kingdom,,set(),0,set(),0,set(),0
782,782,George Hallett,South Africa,,set(),0,set(),0,set(),0
783,783,George M. Wedding,USA,,set(),0,set(),0,set(),0
784,784,George Osodi,Nigeria,"He was a photojournalist for the Comet Newspaper in 1999, before working with the Associated Press in Lagos between 2001 and 2008. George has covered many assignments for both local and international organisations, and his photographs have been published in the New York Times, Time Magazine, The Guardian, The Telegraph, USA Today, The International Herald Tribune, CNN, BBC Focus on Africa and many more. George has won a number of major international awards, including the Fuji Africa Photojournalist of the Year award in 2004 (Features). His work was exhibited at documenta 12 in Germany in 2007, and his photo book Delta Nigeria: The Rape of Paradise was published by Trolley Books in 2008.",{'George'},1,"{'Telegraph', 'Trolley Books', 'the Associated Press', 'the New York Times', 'USA Today', 'The International Herald Tribune', 'the Fuji Africa Photojournalist', 'CNN', 'Time Magazine', 'the Comet Newspaper', 'BBC Focus', 'Guardian'}",12,"{'Lagos', 'Germany', 'Delta Nigeria'}",3
785,785,George Rose,USA,,set(),0,set(),0,set(),0
786,786,George Steinmetz,United States,,set(),0,set(),0,set(),0
787,787,George Steinmetz,USA,"His expeditions to the Sahara and Gobi deserts have been featured in separate National Geographic Explorer programs. He specializes in aerial photography and pioneered the use of a foot-launched motorized paraglider to document all of the world’s extreme deserts, which took him to 27 countries, plus Antarctica, over a 15-year period. George has won numerous awards for photography during his career, including two first prizes in science and technology from World Press Photo in 1995 and 1998. He was named National Geographic’s Adventurer of the year in 2008, and has won awards and citations from Pictures of the Year, Overseas Press Club, and the Environmental Vision Award from Pictures of the Year. He’s the author of four major photographic books: African Air, Empty Quarter, Desert Air, and New York Air.  He is currently working on a project to document large scale agriculture and the global food supply.","{'Desert Air', 'Gobi', 'George'}",3,"{'World Press Photo', 'African Air', 'the Environmental Vision Award', 'National Geographic’s Adventurer of the year', 'Overseas Press Club', 'Empty Quarter', 'National Geographic Explorer'}",7,{'New York Air'},1
788,788,Georges Gobet,France,,set(),0,set(),0,set(),0
789,789,Georges Mérillon,France,,set(),0,set(),0,set(),0
790,790,Geovanny 'Gato' Villegas Sánchez,Ecuador,"Gato Villegas Sánchez lives in Quito, Ecuador. He is a cultural and audiovisual producer, interested in the dialogue between art and documentary as a way to renew its narrative. Through teaching, Villegas Sánchez applies aesthetic research and pedagogy methods, advising artists in their creative processes to concretize their work.

In 2000, he founded vsfoto.net, an independent platform that uses images in social projects, learning, visual production, exhibition making and publishing. In 2017, he opened El fotolaboratorio, a photochemical laboratory in Casa Mitómana, Ecuador, and in 2014 he co-founded Asociación de Fotógrafos Ecuatorianos, an Ecuadorian group of professional photographers.

Villegas Sánchez has produced several photo documentary festivals in Ecuador. He has collaborated, organized and curated exhibitions in photo festivals, where he has also been a reviewer and speaker. He was a member of the qualifying committee for several master's visual studies projects. 

Villegas Sánchez has a degree in Social Communication, studied photography and has a master's degree in Cultural Studies with a Mention in Cultural Policies at UASB.


World Press Photo Involvement:
2022 World Press Photo Contest jury member
6x6 Global Talent Program nominator
Joop Swart Masterclass nominator

Geovanny Villegas Sánchez on Social Media: 
Instagram: @gato_villegas
Twitter: @g_vs","{'Asociación de Fotógrafos Ecuatorianos', 'Joop Swart', 'Twitter', 'Villegas Sánchez'}",4,"{'Geovanny Villegas Sánchez', 'Social Communication', 'Gato', 'World Press Photo Involvement', 'Villegas Sánchez', 'Global Talent Program', 'El', 'Social Media'}",8,"{'Casa Mitómana', '@gato_villegas', 'Ecuador', 'Villegas', 'Quito'}",5
791,791,Gerald Herbert,USA,,set(),0,set(),0,set(),0
792,792,Gérard Julien,France,,set(),0,set(),0,set(),0
793,793,Gérard Klijn,The Netherlands,,set(),0,set(),0,set(),0
794,794,Gérard Rancinan,France,,set(),0,set(),0,set(),0
795,795,Gerard Uferas,France,,set(),0,set(),0,set(),0
796,796,Gérard Vandystadt,France,,set(),0,set(),0,set(),0
797,797,Gerd Heidemann,Germany,,set(),0,set(),0,set(),0
